order_id,merchant_id,timestamp,merchant_lat,merchant_lon,rider_lat,rider_lon,distance_km,is_gaming_simulated,base_kpt_min,hidden_load_index
ORD-10000,reliable_rest,2026-03-01 19:18,12.9716,77.5946,13.01084,77.62512,N/A,False,20,0.43
ORD-10001,spice_garden,2026-03-01 19:47,12.9718,77.5948,12.9726,77.59503,N/A,True,12,0.2
ORD-10002,reliable_rest,2026-03-01 19:55,12.9716,77.5946,13.00206,77.62179,N/A,False,20,0.18
ORD-10003,spice_garden,2026-03-01 19:33,12.9718,77.5948,12.97088,77.59557,N/A,True,12,0.86
ORD-10004,spice_garden,2026-03-01 19:13,12.9718,77.5948,12.97272,77.59555,N/A,True,12,0.22
ORD-10005,spice_garden,2026-03-01 19:41,12.9718,77.5948,12.97134,77.59538,N/A,True,22,0.14
ORD-10006,reliable_rest,2026-03-01 19:37,12.9716,77.5946,12.99573,77.61849,N/A,False,14,0.22
ORD-10007,reliable_rest,2026-03-01 19:38,12.9716,77.5946,13.01027,77.62721,N/A,False,14,0.23
ORD-10008,spice_garden,2026-03-01 19:53,12.9718,77.5948,12.97129,77.59407,N/A,True,20,0.51
ORD-10009,spice_garden,2026-03-01 19:25,12.9718,77.5948,12.97233,77.59467,N/A,True,15,0.34
ORD-10010,reliable_rest,2026-03-01 19:28,12.9716,77.5946,12.99389,77.63152,N/A,False,24,0.4
ORD-10011,reliable_rest,2026-03-01 19:47,12.9716,77.5946,12.98843,77.62257,N/A,False,24,0.85
ORD-10012,spice_garden,2026-03-01 19:14,12.9718,77.5948,12.97138,77.59397,N/A,True,25,0.85
ORD-10013,reliable_rest,2026-03-01 19:42,12.9716,77.5946,12.98758,77.62049,N/A,False,19,0.43
ORD-10014,reliable_rest,2026-03-01 19:33,12.9716,77.5946,13.00267,77.60593,N/A,False,24,0.29
ORD-10015,spice_garden,2026-03-01 19:17,12.9718,77.5948,13.01057,77.62311,N/A,False,14,0.33
ORD-10016,reliable_rest,2026-03-01 19:30,12.9716,77.5946,12.99853,77.61792,N/A,False,19,0.2
ORD-10017,reliable_rest,2026-03-01 19:14,12.9716,77.5946,12.98909,77.62636,N/A,False,19,0.22
ORD-10018,spice_garden,2026-03-01 19:14,12.9718,77.5948,12.97267,77.5951,N/A,True,25,0.27
ORD-10019,spice_garden,2026-03-01 19:24,12.9718,77.5948,12.97144,77.59493,N/A,True,15,0.48
ORD-10020,reliable_rest,2026-03-01 19:37,12.9716,77.5946,12.99971,77.63192,N/A,False,14,0.29
ORD-10021,reliable_rest,2026-03-01 19:31,12.9716,77.5946,12.98967,77.63337,N/A,False,25,0.14
ORD-10022,reliable_rest,2026-03-01 19:54,12.9716,77.5946,12.99068,77.61016,N/A,False,18,0.57
ORD-10023,spice_garden,2026-03-01 19:30,12.9718,77.5948,12.97127,77.59483,N/A,True,23,0.13
ORD-10024,spice_garden,2026-03-01 19:56,12.9718,77.5948,12.97251,77.59433,N/A,True,12,0.65
ORD-10025,reliable_rest,2026-03-01 19:44,12.9716,77.5946,12.99473,77.62701,N/A,False,17,0.7
ORD-10026,spice_garden,2026-03-01 19:51,12.9718,77.5948,12.97272,77.59533,N/A,True,15,0.53
ORD-10027,reliable_rest,2026-03-01 19:21,12.9716,77.5946,12.99907,77.62313,N/A,False,13,0.83
ORD-10028,spice_garden,2026-03-01 19:29,12.9718,77.5948,12.97144,77.59401,N/A,True,15,0.56
ORD-10029,reliable_rest,2026-03-01 19:28,12.9716,77.5946,13.0056,77.61653,N/A,False,24,0.83
ORD-10030,reliable_rest,2026-03-01 19:56,12.9716,77.5946,12.99858,77.63309,N/A,False,17,0.85
ORD-10031,reliable_rest,2026-03-01 19:42,12.9716,77.5946,13.00806,77.63286,N/A,False,13,0.89
ORD-10032,spice_garden,2026-03-01 19:41,12.9718,77.5948,12.97185,77.59436,N/A,True,20,0.72
ORD-10033,spice_garden,2026-03-01 19:43,12.9718,77.5948,12.97267,77.59384,N/A,True,13,0.67
ORD-10034,reliable_rest,2026-03-01 19:52,12.9716,77.5946,12.99831,77.6135,N/A,False,18,0.71
ORD-10035,spice_garden,2026-03-01 19:47,12.9718,77.5948,12.97163,77.5945,N/A,True,24,0.33
ORD-10036,reliable_rest,2026-03-01 19:27,12.9716,77.5946,12.99502,77.62028,N/A,False,19,0.15
ORD-10037,spice_garden,2026-03-01 19:59,12.9718,77.5948,12.97202,77.59531,N/A,True,20,0.78
ORD-10038,reliable_rest,2026-03-01 19:39,12.9716,77.5946,12.99533,77.62712,N/A,False,15,0.71
ORD-10039,reliable_rest,2026-03-01 19:59,12.9716,77.5946,13.00993,77.60908,N/A,False,18,0.82
ORD-10040,reliable_rest,2026-03-01 19:56,12.9716,77.5946,13.01024,77.62494,N/A,False,20,0.45
ORD-10041,reliable_rest,2026-03-01 19:52,12.9716,77.5946,13.00283,77.6112,N/A,False,12,0.18
ORD-10042,reliable_rest,2026-03-01 19:31,12.9716,77.5946,12.98874,77.61934,N/A,False,20,0.34
ORD-10043,spice_garden,2026-03-01 19:43,12.9718,77.5948,12.97216,77.59515,N/A,True,20,0.66
ORD-10044,reliable_rest,2026-03-01 19:16,12.9716,77.5946,13.01128,77.61535,N/A,False,16,0.74
ORD-10045,spice_garden,2026-03-01 19:45,12.9718,77.5948,12.97197,77.59569,N/A,True,18,0.71
ORD-10046,reliable_rest,2026-03-01 19:24,12.9716,77.5946,13.00798,77.60474,N/A,False,18,0.18
ORD-10047,reliable_rest,2026-03-01 19:49,12.9716,77.5946,12.98274,77.62406,N/A,False,23,0.46
ORD-10048,spice_garden,2026-03-01 19:50,12.9718,77.5948,12.97156,77.595,N/A,True,18,0.32
ORD-10049,reliable_rest,2026-03-01 19:22,12.9716,77.5946,12.98682,77.63235,N/A,False,25,0.4
ORD-10050,spice_garden,2026-03-01 19:47,12.9718,77.5948,12.97211,77.5957,N/A,True,25,0.84
ORD-10051,spice_garden,2026-03-01 19:37,12.9718,77.5948,12.97162,77.59487,N/A,True,20,0.38
ORD-10052,reliable_rest,2026-03-01 19:58,12.9716,77.5946,12.99158,77.60788,N/A,False,14,0.51
ORD-10053,reliable_rest,2026-03-01 19:40,12.9716,77.5946,12.98872,77.61664,N/A,False,18,0.38
ORD-10054,spice_garden,2026-03-01 19:13,12.9718,77.5948,12.97128,77.59532,N/A,True,22,0.1
ORD-10055,reliable_rest,2026-03-01 19:39,12.9716,77.5946,12.98456,77.61815,N/A,False,25,0.5
ORD-10056,reliable_rest,2026-03-01 19:24,12.9716,77.5946,12.98259,77.62428,N/A,False,16,0.7
ORD-10057,spice_garden,2026-03-01 19:12,12.9718,77.5948,12.9726,77.59475,N/A,True,21,0.6
ORD-10058,spice_garden,2026-03-01 19:53,12.9718,77.5948,12.97249,77.59444,N/A,True,25,0.77
ORD-10059,reliable_rest,2026-03-01 19:55,12.9716,77.5946,13.00414,77.60867,N/A,False,24,0.6
ORD-10060,reliable_rest,2026-03-01 19:56,12.9716,77.5946,12.97187,77.59499,N/A,True,17,0.8
ORD-10061,reliable_rest,2026-03-01 19:49,12.9716,77.5946,13.01078,77.62777,N/A,False,14,0.6
ORD-10062,spice_garden,2026-03-01 19:37,12.9718,77.5948,12.97268,77.59514,N/A,True,25,0.19
ORD-10063,reliable_rest,2026-03-01 19:20,12.9716,77.5946,13.00606,77.6161,N/A,False,23,0.74
ORD-10064,reliable_rest,2026-03-01 19:48,12.9716,77.5946,12.99482,77.61535,N/A,False,22,0.22
ORD-10065,spice_garden,2026-03-01 19:20,12.9718,77.5948,12.97178,77.59553,N/A,True,23,0.82
ORD-10066,spice_garden,2026-03-01 19:53,12.9718,77.5948,12.97169,77.59489,N/A,True,19,0.58
ORD-10067,spice_garden,2026-03-01 19:14,12.9718,77.5948,12.97153,77.59537,N/A,True,25,0.22
ORD-10068,spice_garden,2026-03-01 19:52,12.9718,77.5948,12.97247,77.59458,N/A,True,24,0.17
ORD-10069,reliable_rest,2026-03-01 19:18,12.9716,77.5946,12.99539,77.60876,N/A,False,19,0.27
ORD-10070,reliable_rest,2026-03-01 19:26,12.9716,77.5946,12.99946,77.63196,N/A,False,22,0.7
ORD-10071,reliable_rest,2026-03-01 19:52,12.9716,77.5946,13.00359,77.60461,N/A,False,20,0.69
ORD-10072,spice_garden,2026-03-01 19:51,12.9718,77.5948,12.97223,77.5938,N/A,True,17,0.86
ORD-10073,reliable_rest,2026-03-01 19:38,12.9716,77.5946,12.9966,77.6131,N/A,False,13,0.57
ORD-10074,spice_garden,2026-03-01 19:25,12.9718,77.5948,12.97247,77.5949,N/A,True,25,0.78
ORD-10075,spice_garden,2026-03-01 19:54,12.9718,77.5948,12.97222,77.59425,N/A,True,24,0.56
ORD-10076,spice_garden,2026-03-01 19:33,12.9718,77.5948,12.97094,77.59546,N/A,True,19,0.48
ORD-10077,reliable_rest,2026-03-01 19:33,12.9716,77.5946,13.00006,77.63089,N/A,False,19,0.62
ORD-10078,spice_garden,2026-03-01 19:42,12.9718,77.5948,12.97191,77.59462,N/A,True,20,0.52
ORD-10079,reliable_rest,2026-03-01 19:54,12.9716,77.5946,13.00466,77.61923,N/A,False,22,0.72
ORD-10080,reliable_rest,2026-03-01 19:28,12.9716,77.5946,12.98798,77.60955,N/A,False,20,0.87
ORD-10081,spice_garden,2026-03-01 19:41,12.9718,77.5948,12.99069,77.63369,N/A,False,17,0.29
ORD-10082,spice_garden,2026-03-01 19:26,12.9718,77.5948,12.98195,77.61421,N/A,False,23,0.69
ORD-10083,spice_garden,2026-03-01 19:40,12.9718,77.5948,12.97265,77.59453,N/A,True,19,0.7
ORD-10084,spice_garden,2026-03-01 19:45,12.9718,77.5948,12.9724,77.59478,N/A,True,16,0.44
ORD-10085,reliable_rest,2026-03-01 19:56,12.9716,77.5946,12.9842,77.62184,N/A,False,16,0.19
ORD-10086,reliable_rest,2026-03-01 19:31,12.9716,77.5946,13.00997,77.60786,N/A,False,22,0.76
ORD-10087,reliable_rest,2026-03-01 19:39,12.9716,77.5946,13.00553,77.62496,N/A,False,17,0.51
ORD-10088,spice_garden,2026-03-01 19:41,12.9718,77.5948,12.97118,77.59443,N/A,True,25,0.71
ORD-10089,spice_garden,2026-03-01 19:49,12.9718,77.5948,12.97243,77.59501,N/A,True,18,0.42
ORD-10090,spice_garden,2026-03-01 19:17,12.9718,77.5948,12.97264,77.59403,N/A,True,19,0.78
ORD-10091,reliable_rest,2026-03-01 19:57,12.9716,77.5946,12.98882,77.62545,N/A,False,15,0.67
ORD-10092,reliable_rest,2026-03-01 19:14,12.9716,77.5946,12.98173,77.63446,N/A,False,25,0.36
ORD-10093,spice_garden,2026-03-01 19:38,12.9718,77.5948,12.9848,77.60572,N/A,False,19,0.1
ORD-10094,spice_garden,2026-03-01 19:35,12.9718,77.5948,12.9721,77.59522,N/A,True,20,0.42
ORD-10095,spice_garden,2026-03-01 19:44,12.9718,77.5948,12.97145,77.59443,N/A,True,25,0.2
ORD-10096,spice_garden,2026-03-01 19:18,12.9718,77.5948,12.97269,77.59403,N/A,True,14,0.74
ORD-10097,reliable_rest,2026-03-01 19:57,12.9716,77.5946,13.00705,77.63308,N/A,False,13,0.76
ORD-10098,reliable_rest,2026-03-01 19:31,12.9716,77.5946,13.01052,77.60554,N/A,False,13,0.82
ORD-10099,spice_garden,2026-03-01 19:27,12.9718,77.5948,12.97114,77.5939,N/A,True,18,0.17
ORD-10100,reliable_rest,2026-03-01 19:35,12.9716,77.5946,13.00002,77.63039,N/A,False,24,0.8
ORD-10101,reliable_rest,2026-03-01 19:26,12.9716,77.5946,12.99007,77.60601,N/A,False,21,0.25
ORD-10102,spice_garden,2026-03-01 19:41,12.9718,77.5948,12.97209,77.59473,N/A,True,24,0.8
ORD-10103,spice_garden,2026-03-01 19:26,12.9718,77.5948,12.97234,77.59391,N/A,True,17,0.38
ORD-10104,spice_garden,2026-03-01 19:50,12.9718,77.5948,12.97159,77.59418,N/A,True,18,0.53
ORD-10105,spice_garden,2026-03-01 19:42,12.9718,77.5948,12.9722,77.59566,N/A,True,20,0.43
ORD-10106,reliable_rest,2026-03-01 19:58,12.9716,77.5946,13.00115,77.60525,N/A,False,21,0.42
ORD-10107,spice_garden,2026-03-01 19:58,12.9718,77.5948,12.97239,77.59428,N/A,True,21,0.5
